Particulars,Unit, 5-1997, 6-1997, 7-1997, 8-1997, 9-1997, 10-1997, 11-1997, 12-1997, 1-1998, 2-1998, 3-1998, 3-1999, 3-2000, 3-2001, 3-2002, 3-2003, 3-2004, 3-2005, 3-2006, 3-2007, 5-2007, 6-2007, 7-2007, 8-2007, 9-2007, 10-2007, 12-2007, 1-2008, 3-2008, 3-2009, 10-2009, 12-2009, 3-2010, 4-2010, 5-2010, 6-2010, 7-2010, 8-2010, 9-2010, 10-2010, 11-2010, 12-2010, 3-2011, 4-2011, 5-2011, 6-2011, 7-2011, 8-2011, 9-2011, 10-2011, 11-2011, 12-2011
Production Edible Oil Deoiled Rice Bran,Ton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299187,228966,482054,374768,473026,368348,299602,322672,506698,734633
Production Edible Oil Rice Bran Oil,Ton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53788,40547,82796,81932,86203,66956,51598,63215,96961,104159
Production Edible Oil Till Seed Oil,Ton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,12,183,115,36,68,72,23,NA,NA,47,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Production Beverages and Tobacco Tea,Ton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57000,69000,76000,115000,133000,127000,111000,118000,90000,51000
Production Beverages and Tobacco Coffee,Ton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34925,28070,28994,29410,25405,25996,23581,23851,17287,21344
Production Beverages and Tobacco Rectified Spirit,l th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80686,74247,74303,60413,56024,52872,44407,51054,68744,87438
Production Beverages and Tobacco Beer,l th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114248,104985,117154,113056,86239,64382,67662,72842,73727,70170
Production Beverages and Tobacco Indian Made Foreign Liquor,l th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47339,42085,47760,47064,45621,45277,45948,44302,49508,50540
Production Beverages and Tobacco Country Liquor,l th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14345,12231,10970,13174,12792,12110,11434,10356,13213,13108
Production Beverages and Tobacco Soft Drink and Soda,Bottle mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,157,169,148,115,106,107,107,94,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Production Beverages and Tobacco Cigarettes,Piece mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7509,8815,9060,8360,7517,6954,7909,8167,9122,7933
